job_description,location,fraudulent
"Work from home and earn easy money. No experience required. Urgent hiring. Pay registration fee to start.",Mumbai,1
"We are hiring Python developers with competitive salary. Apply now."
,Delhi,0
"Immediate join. Limited time offer. Pay to join and provide Aadhaar for verification.",Bangalore,1
"Join our team. Hiring for software engineer position. Must have skills in Python and SQL."
,Hyderabad,0
"Unlimited income opportunities. Deposit money and pay processing fee."
,Pune,1
"Legitimate company hiring for data analyst. Requirements: SQL, Excel, and communication skills."
,Chennai,0

